2026-04-09 20:45:15.933 | INFO     | monitor:monitor_price:32 - Initial value: 0 Mbps
2026-04-09 20:45:35.986 | WARNING  | monitor:monitor_price:35 - [2026-04-09 20:45:35] Value changed | Old: 0 Mbps | New: 27 MB
2026-04-09 20:45:56.013 | WARNING  | monitor:monitor_price:35 - [2026-04-09 20:45:56] Value changed | Old: 27 MB | New: 82.8 MB
2026-04-09 20:46:06.021 | ERROR    | monitor:monitor_price:40 - Monitoring error: Locator.is_visible: Target page, context or browser has been closed
2026-04-09 20:53:39.104 | INFO     | main:start_monitoring:27 - Monitoring requested | URL: https://practice.expandtesting.com/dynamic-table | Selector: #core > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(2) > table:nth-of-type(1) > tbody:nth-of-type(1) > tr:nth-of-type(3) > td:nth-of-type(1)
2026-04-09 20:53:39.105 | INFO     | monitor:monitor_price:8 - Starting monitoring | URL: https://practice.expandtesting.com/dynamic-table | Selector: #core > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(2) > table:nth-of-type(1) > tbody:nth-of-type(1) > tr:nth-of-type(3) > td:nth-of-type(1)
2026-04-09 20:53:43.990 | INFO     | monitor:monitor_price:31 - Selector used: #core > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(2) > table:nth-of-type(1) > tbody:nth-of-type(1) > tr:nth-of-type(3) > td:nth-of-type(1)
2026-04-09 20:53:43.991 | INFO     | monitor:monitor_price:32 - Initial value: Internet Explorer
2026-04-09 20:54:24.051 | WARNING  | monitor:monitor_price:35 - [2026-04-09 20:54:24] Value changed | Old: Internet Explorer | New: Chrome
2026-04-09 20:54:44.118 | WARNING  | monitor:monitor_price:35 - [2026-04-09 20:54:44] Value changed | Old: Chrome | New: System
2026-04-09 20:54:54.113 | ERROR    | monitor:monitor_price:40 - Monitoring error: Locator.is_visible: Target page, context or browser has been closed
2026-04-09 20:55:05.129 | INFO     | main:start_monitoring:27 - Monitoring requested | URL: https://practice.expandtesting.com/dynamic-table | Selector: #core > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(2) > table:nth-of-type(1) > tbody:nth-of-type(1) > tr:nth-of-type(3) > td:nth-of-type(2)
2026-04-09 20:55:05.130 | INFO     | monitor:monitor_price:8 - Starting monitoring | URL: https://practice.expandtesting.com/dynamic-table | Selector: #core > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(2) > table:nth-of-type(1) > tbody:nth-of-type(1) > tr:nth-of-type(3) > td:nth-of-type(2)
2026-04-09 20:55:09.903 | INFO     | monitor:monitor_price:31 - Selector used: #core > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(2) > div:nth-of-type(1) > div:nth-of-type(2) > table:nth-of-type(1) > tbody:nth-of-type(1) > tr:nth-of-type(3) > td:nth-of-type(2)
2026-04-09 20:55:09.904 | INFO     | monitor:monitor_price:32 - Initial value: 7.1 MB
2026-04-09 20:55:19.918 | WARNING  | monitor:monitor_price:35 - [2026-04-09 20:55:19] Value changed | Old: 7.1 MB | New: 6.6 Mbps
2026-04-09 20:55:29.949 | WARNING  | monitor:monitor_price:35 - [2026-04-09 20:55:29] Value changed | Old: 6.6 Mbps | New: 78.3 MB
2026-04-09 20:55:39.970 | WARNING  | monitor:monitor_price:35 - [2026-04-09 20:55:39] Value changed | Old: 78.3 MB | New: 0.8%
2026-04-09 20:55:49.983 | ERROR    | monitor:monitor_price:40 - Monitoring error: Locator.is_visible: Target page, context or browser has been closed
